Date,Region,Game Mode Id,Game Mode,Match Mode Id,Match Mode,Is Ugc,Player Users,Lv5 Player Cnt,Lv8 Player Cnt,Lv12 Player Cnt,R2,R7,Game C2,Game C7,Mode C2,Mode C7,Quantile30 Match Cnt,Quantile50 Match Cnt,Quantile70 Match Cnt,Participate Rate,Real Participate Rate,Avg Survival Time,Avg Match Cnt,Avg Match Survival Time,,Date: 2022-01-01 -- 2025-09-30
2022-02-12,ME,15,Clash Squad (CS),6,CS Ranking,False,1691043,1691043,1691043,1646980,59.87%,48.12%,15.17%,24.92%,24.96%,26.96%,2.00,3.00,5.00,36.44%,43.36%,2306.31,4.24,543.93
2022-02-13,ME,1,Battle Royale (BR),2,Ranking Match,False,1490397,1490397,1490397,1453671,59.99%,55.37%,14.23%,22.01%,25.78%,22.61%,2.00,3.00,6.00,34.02%,39.97%,2473.53,5.37,460.70
2022-02-13,ME,15,Clash Squad (CS),6,CS Ranking,False,1605567,1605567,1605567,1564297,59.63%,46.61%,15.69%,24.12%,24.68%,29.27%,2.00,3.00,5.00,36.64%,43.05%,2324.34,4.25,547.26
2022-02-14,ME,1,Battle Royale (BR),2,Ranking Match,False,1412015,1412015,1412015,1377889,62.09%,54.05%,12.06%,22.78%,25.86%,23.17%,2.00,3.00,6.00,33.24%,39.42%,2406.99,5.21,461.78
2022-02-14,ME,15,Clash Squad (CS),6,CS Ranking,False,1537007,1537007,1537007,1497975,62.25%,45.85%,13.83%,25.22%,23.91%,28.93%,2.00,3.00,5.00,36.19%,42.91%,2335.65,4.25,549.74
2022-02-15,ME,1,Battle Royale (BR),2,Ranking Match,False,1389069,1389069,1389069,1355131,63.12%,52.11%,11.75%,25.62%,25.13%,22.26%,2.00,3.00,6.00,32.92%,38.95%,2390.87,5.19,460.69
2022-02-15,ME,15,Clash Squad (CS),6,CS Ranking,False,1545382,1545382,1545382,1506481,61.82%,45.01%,13.55%,27.99%,24.63%,27.00%,2.00,3.00,5.00,36.63%,43.33%,2357.37,4.27,551.85
2022-02-16,ME,1,Battle Royale (BR),2,Ranking Match,False,1402537,1402537,1402537,1368498,63.52%,51.09%,11.22%,26.89%,25.26%,22.02%,2.00,3.00,6.00,33.67%,39.54%,2440.44,5.30,460.17
2022-02-16,ME,15,Clash Squad (CS),6,CS Ranking,False,1527127,1527127,1527127,1488727,62.39%,45.50%,12.95%,29.41%,24.66%,25.09%,2.00,3.00,5.00,36.66%,43.05%,2376.70,4.30,553.24
2022-02-17,ME,1,Battle Royale (BR),2,Ranking Match,False,1438202,1438202,1438202,1402483,66.64%,50.29%,11.00%,27.77%,22.36%,21.95%,2.00,3.00,6.00,33.87%,39.44%,2417.17,5.27,458.43
2022-02-17,ME,15,Clash Squad (CS),6,CS Ranking,False,1555569,1555569,1555569,1515685,61.43%,44.77%,12.79%,30.32%,25.77%,24.91%,2.00,3.00,5.00,36.63%,42.66%,2349.22,4.25,552.55
2022-02-18,ME,1,Battle Royale (BR),2,Ranking Match,False,1652062,1652062,1652062,1615020,64.96%,51.53%,12.09%,25.49%,22.95%,22.98%,2.00,4.00,7.00,37.62%,43.57%,2868.34,6.51,440.43
2022-02-18,ME,15,Clash Squad (CS),6,CS Ranking,False,1605303,1605303,1605303,1561965,56.83%,45.87%,14.73%,28.92%,28.44%,25.22%,1.00,3.00,4.00,36.55%,42.34%,2279.59,4.16,547.97
2022-02-19,ME,1,Battle Royale (BR),2,Ranking Match,False,1638783,1638783,1638783,1600622,62.82%,54.49%,14.05%,23.26%,23.13%,22.26%,2.00,4.00,7.00,37.93%,44.11%,2821.69,6.52,432.99
2022-02-19,ME,15,Clash Squad (CS),6,CS Ranking,False,1490652,1490652,1490652,1450121,57.11%,50.57%,16.41%,26.42%,26.48%,23.01%,1.00,2.00,4.00,34.50%,40.13%,2173.25,3.95,550.62
2022-02-20,ME,1,Battle Royale (BR),2,Ranking Match,False,1536029,1536029,1536029,1500115,62.08%,52.79%,15.62%,23.41%,22.30%,23.80%,2.00,4.00,7.00,37.62%,43.77%,2868.84,6.60,434.34
2022-02-20,ME,15,Clash Squad (CS),6,CS Ranking,False,1416969,1416969,1416969,1378758,57.46%,48.45%,17.74%,26.78%,24.81%,24.76%,1.00,2.00,4.00,34.70%,40.38%,2214.75,4.00,553.51
