Date,Region,A1,A7,A30,AR2,AR7,AR30,New User,NU R2,NU R7,NU R30,NU R2_Abs,NU R7_Abs,NU R30_Abs,Revival7,Revival7 R2,Revival7 R7,Revival7 R30,Revival30,Revival30 R2,Revival30 R7,Revival30 R30,C7,C7 Rate,C30,C30 Rate,Retained 7,New User A7,Revival 7 A7,Retained 30,New User A30,Revival 30 A30,EO Month
1/20/2022,Middle East,2015105,4420895,8969330,73.00%,58.40%,49.10%,127841,54.10%,26.30%,12.50%,69119,33581,16016,174990,40.90%,21.70%,17.10%,68624,42.70%,19.60%,12.10%,1528070,35.00%,3510038,44.20%,2843927,696044,880924,4429123,2814354,1725853,0
1/20/2022,North Africa,1513024,3265345,6612435,78.60%,63.90%,53.10%,44264,49.70%,21.80%,9.70%,22006,9646,4274,105598,44.70%,24.50%,17.10%,34833,41.90%,19.60%,11.80%,981645,29.00%,2448254,38.40%,2399513,277672,588160,3928918,1337806,1345711,0
1/20/2022,SSA,4055,11254,23040,72.80%,53.40%,43.00%,336,51.80%,17.90%,7.10%,174,60,24,314,43.30%,21.70%,14.60%,121,43.80%,21.50%,9.10%,4621,39.00%,8682,46.30%,7222,2109,1923,10080,8769,4191,0
1/20/2022,Outside MEA,104903,265301,521166,64.30%,55.90%,46.90%,2372,40.80%,17.70%,7.70%,967,420,183,11924,25.20%,14.80%,11.90%,4289,25.40%,12.40%,7.20%,94665,35.80%,204893,42.80%,169741,17073,78487,273806,58301,189059,0
1/21/2022,Middle East,2093563,4399082,9041120,70.60%,57.80%,47.20%,119474,49.40%,24.20%,10.80%,59048,28901,12962,178389,35.80%,20.60%,14.70%,69462,38.00%,18.80%,10.60%,1563541,35.70%,3480127,44.00%,2814658,706103,878321,4427570,2855194,1758356,0
1/21/2022,North Africa,1664115,3230331,6615914,77.40%,62.20%,51.30%,49083,47.40%,19.60%,8.80%,23259,9617,4323,122443,42.70%,22.60%,16.00%,41750,41.00%,18.50%,11.20%,1008591,29.80%,2433304,38.30%,2373961,278438,577932,3918842,1342286,1354786,0
1/21/2022,SSA,4652,11273,23260,73.60%,51.60%,43.20%,338,56.50%,18.60%,8.60%,191,63,29,354,39.30%,16.70%,14.10%,122,42.60%,15.60%,12.30%,4344,38.00%,8625,46.10%,7089,2192,1992,10097,8925,4238,0
1/21/2022,Outside MEA,105554,262262,524340,67.80%,55.50%,46.70%,2407,40.10%,16.90%,8.50%,965,406,204,12040,26.90%,14.30%,11.40%,4252,27.00%,11.50%,7.20%,98574,36.20%,201518,42.40%,173820,16786,71656,273663,59156,191521,0
1/22/2022,Middle East,2053173,4381531,9070048,70.40%,59.50%,45.20%,99846,49.20%,23.90%,10.10%,49128,23847,10035,157959,34.70%,21.40%,13.60%,59181,37.70%,18.90%,9.30%,1595808,36.40%,3472150,43.90%,2788807,712819,879905,4434806,2864191,1771051,0
1/22/2022,North Africa,1755174,3203552,6622401,74.80%,64.10%,49.10%,50094,46.00%,21.00%,8.20%,23050,10518,4127,134236,40.40%,24.30%,15.30%,44223,38.90%,19.60%,10.10%,1034282,30.60%,2424621,38.20%,2340941,283031,579580,3915926,1346944,1359531,0
1/22/2022,SSA,5276,11231,23559,71.00%,52.70%,40.70%,397,54.70%,21.90%,8.80%,217,87,35,451,40.80%,18.60%,15.30%,158,44.90%,16.50%,10.80%,4255,37.80%,8582,45.90%,6992,2217,2022,10128,9132,4299,0
